"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 22 21:31:56 GMT 2022","Tue Nov 22 21:31:58 GMT 2022","2253","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 22 21:31:37 GMT 2022","Tue Nov 22 21:31:39 GMT 2022","1303","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"passed","Tue Nov 22 21:33:48 GMT 2022","Tue Nov 22 21:33:49 GMT 2022","1424","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithNonExistingId","getOnePlanetWithNonExistingId",""
"passed","Tue Nov 22 21:31:52 GMT 2022","Tue Nov 22 21:31:56 GMT 2022","3887","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 22 21:31:40 GMT 2022","Tue Nov 22 21:31:42 GMT 2022","2000","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 22 21:31:49 GMT 2022","Tue Nov 22 21:31:52 GMT 2022","2379","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 22 21:33:36 GMT 2022","Tue Nov 22 21:33:38 GMT 2022","1425","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByInvalidQueryParam","getOnePlanetByInvalidQueryParam",""
"passed","Tue Nov 22 21:33:13 GMT 2022","Tue Nov 22 21:33:16 GMT 2022","3608","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByPathParam","getOneFilmByPathParam",""
"passed","Tue Nov 22 21:31:39 GMT 2022","Tue Nov 22 21:31:40 GMT 2022","1794","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Tue Nov 22 21:33:31 GMT 2022","Tue Nov 22 21:33:36 GMT 2022","4724","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getAllPlanets","getAllPlanets",""
"passed","Tue Nov 22 21:32:06 GMT 2022","Tue Nov 22 21:32:08 GMT 2022","2028","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Tue Nov 22 21:32:52 GMT 2022","Tue Nov 22 21:32:54 GMT 2022","1352","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"unknown","Tue Nov 22 21:31:32 GMT 2022","Tue Nov 22 21:31:32 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Tue Nov 22 21:32:54 GMT 2022","Tue Nov 22 21:33:11 GMT 2022","17591","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"passed","Tue Nov 22 21:32:45 GMT 2022","Tue Nov 22 21:32:48 GMT 2022","2973","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Tue Nov 22 21:33:26 GMT 2022","Tue Nov 22 21:33:30 GMT 2022","3445","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Tue Nov 22 21:33:38 GMT 2022","Tue Nov 22 21:33:39 GMT 2022","1826","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByPathParam","getOnePlanetByPathParam",""
"passed","Tue Nov 22 21:31:58 GMT 2022","Tue Nov 22 21:31:59 GMT 2022","982","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Tue Nov 22 21:32:03 GMT 2022","Tue Nov 22 21:32:05 GMT 2022","1644","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Tue Nov 22 21:32:48 GMT 2022","Tue Nov 22 21:32:52 GMT 2022","4815","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithNonExistingId","getOneStarshipWithNonExistingId",""
"passed","Tue Nov 22 21:33:16 GMT 2022","Tue Nov 22 21:33:23 GMT 2022","6492","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Tue Nov 22 21:33:11 GMT 2022","Tue Nov 22 21:33:13 GMT 2022","1495","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByInvalidQueryParam","getOneFilmByInvalidQueryParam",""
"passed","Tue Nov 22 21:33:42 GMT 2022","Tue Nov 22 21:33:44 GMT 2022","2431","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Tue Nov 22 21:33:44 GMT 2022","Tue Nov 22 21:33:48 GMT 2022","3429","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Tue Nov 22 21:31:32 GMT 2022","Tue Nov 22 21:31:37 GMT 2022","5237","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getAllVehicles","getAllVehicles",""
"passed","Tue Nov 22 21:31:42 GMT 2022","Tue Nov 22 21:31:47 GMT 2022","4821","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 22 21:31:47 GMT 2022","Tue Nov 22 21:31:49 GMT 2022","1949","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 22 21:33:39 GMT 2022","Tue Nov 22 21:33:42 GMT 2022","2505","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"unknown","Tue Nov 22 21:31:32 GMT 2022","Tue Nov 22 21:31:32 GMT 2022","0","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"unknown","Tue Nov 22 21:31:32 GMT 2022","Tue Nov 22 21:31:32 GMT 2022","5","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Tue Nov 22 21:33:23 GMT 2022","Tue Nov 22 21:33:26 GMT 2022","3468","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Tue Nov 22 21:32:08 GMT 2022","Tue Nov 22 21:32:45 GMT 2022","36206","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"unknown","Tue Nov 22 21:31:32 GMT 2022","Tue Nov 22 21:31:32 GMT 2022","0","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Tue Nov 22 21:32:05 GMT 2022","Tue Nov 22 21:32:06 GMT 2022","1730","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Tue Nov 22 21:33:30 GMT 2022","Tue Nov 22 21:33:31 GMT 2022","1536","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
